(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (b̄+c) . (a), b+c̄ . b̄+d̄ . b̄+c . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (b+c̄) . (b̄+c) . (a), b+c̄ . b̄+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (b̄+c) . (a), b+c̄ . b̄+c . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (c̄+d) . (b+c̄) . (b̄+d) . (b̄+c) . (a), b+c̄ . b̄+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d) . (a), c̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (b̄+d) . (a), b+c̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c̄) . (b̄+d) . (a), c̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+c+d) . (a), c̄+d̄ . b̄+c+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (b+c̄) . (b̄+c+d) . (a), b+c̄ . b̄+c+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c̄+d̄) . (b+c̄) . (b̄+c+d) . (a), b+c̄ . b̄+c+d . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+c+d . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d) . (a), c̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c̄+d) . (b+c̄) . (b̄+d) . (a), b+c̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c̄) . (b̄+d) . (a), c̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (b̄+d) . (b̄+c) . (a), b+c̄ . b̄+d . a<br/> IKNF<sub>2</sub>, c̄+d . b+c̄ . b̄+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (b̄+c) . (a), b+c̄ . b̄+d̄ . b̄+c . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (b+c̄) . (b̄+c) . (a), b+c̄ . b̄+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (b̄+c) . (a), b+c̄ . b̄+c . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c̄+d) . (b+c̄) . (b̄+d) . (b̄+c) . (a), b+c̄ . b̄+c . a<br/> IKNF<sub>2</sub>, b+c̄ . b̄+d . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d̄) . (a), c̄ . b̄+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (b̄+c+d̄) . (a), c̄+d . b+c̄ . b̄+c+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c̄) . (b̄+d̄) . (a), c̄ . b̄+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (a), b+c̄ . b̄+d̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (b+c̄) . (b̄+c+d̄) . (a), b+c̄ . b̄+c+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (a), b+c̄ . b̄+d̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b̄+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d̄) . (a), c̄ . b̄+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c̄+d) . (b+c̄) . (b̄+c+d̄) . (a), b+c̄ . b̄+c+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c̄) . (b̄+d̄) . (a), c̄ . b̄+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (a), c̄+d . b+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (a), c̄+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (b+c̄) . (a), b+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (a), b+c̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (c̄+d) . (b+c̄) . (a), b+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (c̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (b̄+c+d̄) . (a), c̄+d . b+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄) . (b̄+d̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (a), b+c̄ . b̄+d̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (b+c̄) . (b̄+c+d̄) . (a), b+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (a), b+c̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (c̄+d) . (b+c̄) . (b̄+c+d̄) . (a), b+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ ), (c̄) . (b̄+d̄) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (b̄+d) . (b̄+c) . (a), b+c̄ . b̄+d . b̄+c . a<br/> IKNF<sub>2</sub>, c̄+d . b+c̄ . b̄+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (b̄+c) . (a), empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (b+c̄) . (b̄+c) . (a), b+c̄ . b̄+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+d̄) . (b̄+c) . (a), empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c̄+d) . (b+c̄) . (b̄+d) . (b̄+c) . (a), b+c̄ . b̄+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c̄) . (b̄) . (a), c̄ . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄) . (b̄+d) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d) . (b+c̄) . (b̄+d) . (a), b+c̄ . b̄+d . a<br/> IKNF<sub>2</sub>, c̄+d . b+c̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄) . (b̄+d) . (a), c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+c̄) . (b̄+c+d) . (a), c̄+d̄ . a, empty
